Retired point with ll = -3.341426528335001e6; accept = 0.16541353383458646; next nmcmc = 133
Retired point with ll = -3.3296616503070896e6; accept = 0.14285714285714285; next nmcmc = 133
Retired point with ll = -3.266637711060136e6; accept = 0.2781954887218045; next nmcmc = 132
Retired point with ll = -3.215368178489564e6; accept = 0.12878787878787878; next nmcmc = 132
Retired point with ll = -3.1675183103919104e6; accept = 0.17424242424242425; next nmcmc = 132
Retired point with ll = -3.156608578930254e6; accept = 0.10606060606060606; next nmcmc = 132
Retired point with ll = -3.1524184544513347e6; accept = 0.12121212121212122; next nmcmc = 132
Retired point with ll = -3.1044520877175895e6; accept = 0.16666666666666666; next nmcmc = 132
Retired point with ll = -3.0674030848193974e6; accept = 0.10606060606060606; next nmcmc = 133
Retired point with ll = -3.043029384128308e6; accept = 0.08270676691729323; next nmcmc = 133
Retired point with ll = -2.932292182206156e6; accept = 0.15037593984962405; next nmcmc = 133
Retired point with ll = -2.838852895861711e6; accept = 0.05263157894736842; next nmcmc = 133
Retired point with ll = -2.802419322761925e6; accept = 0.21052631578947367; next nmcmc = 133
Retired point with ll = -2.652399509145054e6; accept = 0.12781954887218044; next nmcmc = 133
Retired point with ll = -2.5026401274078884e6; accept = 0.15037593984962405; next nmcmc = 133
Retired point with ll = -2.4894898977564094e6; accept = 0.08270676691729323; next nmcmc = 133
Retired point with ll = -2.478680604430377e6; accept = 0.19548872180451127; next nmcmc = 133
Retired point with ll = -2.467907959934835e6; accept = 0.11278195488721804; next nmcmc = 133
Retired point with ll = -2.4604233830317897e6; accept = 0.13533834586466165; next nmcmc = 133
Retired point with ll = -2.448685437940223e6; accept = 0.21052631578947367; next nmcmc = 133
Retired point with ll = -2.446165324220288e6; accept = 0.21052631578947367; next nmcmc = 133
Retired point with ll = -2.423393990998017e6; accept = 0.18045112781954886; next nmcmc = 133
Retired point with ll = -2.4092501148411264e6; accept = 0.24812030075187969; next nmcmc = 133
Retired point with ll = -2.3712459402955673e6; accept = 0.18796992481203006; next nmcmc = 133
Retired point with ll = -2.362369064598439e6; accept = 0.21052631578947367; next nmcmc = 133
Retired point with ll = -2.341637276177813e6; accept = 0.12781954887218044; next nmcmc = 133
Retired point with ll = -2.3208835660186694e6; accept = 0.18045112781954886; next nmcmc = 133
Retired point with ll = -2.3207675427377513e6; accept = 0.15789473684210525; next nmcmc = 133
Retired point with ll = -2.30959094160423e6; accept = 0.16541353383458646; next nmcmc = 133
Retired point with ll = -2.2808426349952305e6; accept = 0.08270676691729323; next nmcmc = 133
Retired point with ll = -2.2711646976917335e6; accept = 0.13533834586466165; next nmcmc = 133
Retired point with ll = -2.2611030003259457e6; accept = 0.16541353383458646; next nmcmc = 133
Retired point with ll = -2.2476729049186343e6; accept = 0.12781954887218044; next nmcmc = 133
Retired point with ll = -2.2140034749860796e6; accept = 0.12030075187969924; next nmcmc = 133
Retired point with ll = -2.2100932613684884e6; accept = 0.12781954887218044; next nmcmc = 133
Retired point with ll = -2.2014090420295056e6; accept = 0.15037593984962405; next nmcmc = 133
Retired point with ll = -2.184898732571089e6; accept = 0.11278195488721804; next nmcmc = 133
Retired point with ll = -2.1750266196802733e6; accept = 0.22556390977443608; next nmcmc = 133
Retired point with ll = -2.1170522440907913e6; accept = 0.09022556390977443; next nmcmc = 133
Retired point with ll = -2.074454981699759e6; accept = 0.19548872180451127; next nmcmc = 133
Retired point with ll = -2.0408782506006467e6; accept = 0.06015037593984962; next nmcmc = 133
Retired point with ll = -2.0288400738171109e6; accept = 0.10526315789473684; next nmcmc = 133
Retired point with ll = -1.9950257805467132e6; accept = 0.15789473684210525; next nmcmc = 133
Retired point with ll = -1.9597047578522724e6; accept = 0.14285714285714285; next nmcmc = 133
Retired point with ll = -1.9521236867952957e6; accept = 0.18045112781954886; next nmcmc = 133
Retired point with ll = -1.938017410333801e6; accept = 0.22556390977443608; next nmcmc = 133
